image_file,group_key,code,ranking_score,ranking_method
data/raw/images/КБ-2014-Р1-0547_orig.jpg,КБ-2014-Р1-0547,КБ-2014-Р1-0547,0.0,coreset
data/raw/images/Нейш3А-2018-5597_orig.jpg,Нейш3А-2018-5597,Нейш3А-2018-5597,1.0,coreset
data/raw/images/Нц-30-662_orig.jpg,Нц-30-662,Нц-30-662,2.0,coreset
data/raw/images/Нц-45-1445_orig.jpg,Нц-45-1445,Нц-45-1445,3.0,coreset
data/raw/images/ВО-1л58-2017-0161_orig.jpg,ВО-1л58-2017-0161,ВО-1л58-2017-0161,4.0,coreset
data/raw/images/Нц-31-0148_orig.jpg,Нц-31-0148,Нц-31-0148,5.0,coreset
data/raw/images/Нейш3А-2018-5970_orig.jpg,Нейш3А-2018-5970,Нейш3А-2018-5970,6.0,coreset
data/raw/images/Нейш3А-2018-4094_orig.jpg,Нейш3А-2018-4094,Нейш3А-2018-4094,7.0,coreset
data/raw/images/БП12-Г01-7079_orig.jpg,БП12-Г01-7079,БП12-Г01-7079,8.0,coreset
data/raw/images/Т-12-Р2-2714_orig.jpg,Т-12-Р2-2714,Т-12-Р2-2714,9.0,coreset
data/raw/images/Т-12-Р4-1205_orig.jpg,Т-12-Р4-1205,Т-12-Р4-1205,10.0,coreset
data/raw/images/КБ-2014-Р1-1489_orig.jpg,КБ-2014-Р1-1489,КБ-2014-Р1-1489,11.0,coreset
data/raw/images/ВО-1л58-2017-0503_orig.jpg,ВО-1л58-2017-0503,ВО-1л58-2017-0503,12.0,coreset
data/raw/images/Нейш3А-2018-0259_orig.jpg,Нейш3А-2018-0259,Нейш3А-2018-0259,13.0,coreset
data/raw/images/Нц-45-0863_orig.jpg,Нц-45-0863,Нц-45-0863,14.0,coreset
data/raw/images/ВО-1л58-2017-0053_orig.jpg,ВО-1л58-2017-0053,ВО-1л58-2017-0053,15.0,coreset
data/raw/images/КБ-2014-Р5-0118_orig.jpg,КБ-2014-Р5-0118,КБ-2014-Р5-0118,16.0,coreset
data/raw/images/Нц-45-1531_orig.jpg,Нц-45-1531,Нц-45-1531,17.0,coreset
data/raw/images/Нц-33-5520_orig.jpg,Нц-33-5520,Нц-33-5520,18.0,coreset
data/raw/images/КБ-2014-Р2-0605_orig.jpg,КБ-2014-Р2-0605,КБ-2014-Р2-0605,19.0,coreset
data/raw/images/Нейш3А-2018-4342_orig.jpg,Нейш3А-2018-4342,Нейш3А-2018-4342,20.0,coreset
data/raw/images/Т-12-Р3-2036_orig.jpg,Т-12-Р3-2036,Т-12-Р3-2036,21.0,coreset
data/raw/images/Нейш3А-2018-0806_orig.jpg,Нейш3А-2018-0806,Нейш3А-2018-0806,22.0,coreset
data/raw/images/Кроп-2013-422_orig.jpg,Кроп-2013-422,Кроп-2013-422,23.0,coreset
data/raw/images/ВО-1л58-2017-0056_orig.jpg,ВО-1л58-2017-0056,ВО-1л58-2017-0056,24.0,coreset
data/raw/images/Кроп-2013-392_orig.jpg,Кроп-2013-392,Кроп-2013-392,25.0,coreset
data/raw/images/Нц-33-1686_orig.jpg,Нц-33-1686,Нц-33-1686,26.0,coreset
data/raw/images/Нейш3А-2018-3996_orig.jpg,Нейш3А-2018-3996,Нейш3А-2018-3996,27.0,coreset
data/raw/images/БП12-Г01-7263_orig.jpg,БП12-Г01-7263,БП12-Г01-7263,28.0,coreset
data/raw/images/Т-12-Р4-1246_orig.jpg,Т-12-Р4-1246,Т-12-Р4-1246,29.0,coreset
data/raw/images/Т-12-Р2-1418_orig.jpg,Т-12-Р2-1418,Т-12-Р2-1418,30.0,coreset
data/raw/images/КБ-2014-Р3-0419_orig.jpg,КБ-2014-Р3-0419,КБ-2014-Р3-0419,31.0,coreset
data/raw/images/Нц-48-341_orig.jpg,Нц-48-341,Нц-48-341,32.0,coreset
data/raw/images/Нейш3А-2018-0810_orig.jpg,Нейш3А-2018-0810,Нейш3А-2018-0810,33.0,coreset
data/raw/images/Нц-33-5509_orig.jpg,Нц-33-5509,Нц-33-5509,34.0,coreset
data/raw/images/КБ-2014-Р1-0131_orig.jpg,КБ-2014-Р1-0131,КБ-2014-Р1-0131,35.0,coreset
data/raw/images/Нейш3А-2018-2331_orig.jpg,Нейш3А-2018-2331,Нейш3А-2018-2331,36.0,coreset
data/raw/images/Нейш3А-2018-0206_orig.jpg,Нейш3А-2018-0206,Нейш3А-2018-0206,37.0,coreset
data/raw/images/КБ-2014-Р2-0485_orig.jpg,КБ-2014-Р2-0485,КБ-2014-Р2-0485,38.0,coreset
data/raw/images/БП12-Г01-6940_orig.jpg,БП12-Г01-6940,БП12-Г01-6940,39.0,coreset
data/raw/images/Нц-33-2608_orig.jpg,Нц-33-2608,Нц-33-2608,40.0,coreset
data/raw/images/КБ-2014-Р3-0268_orig.jpg,КБ-2014-Р3-0268,КБ-2014-Р3-0268,41.0,coreset
data/raw/images/Нейш3А-2018-0210_orig.jpg,Нейш3А-2018-0210,Нейш3А-2018-0210,42.0,coreset
data/raw/images/Нейш3А-2018-1042_orig.jpg,Нейш3А-2018-1042,Нейш3А-2018-1042,43.0,coreset
data/raw/images/БП11-Р01-Г01-1248_orig.jpg,БП11-Р01-Г01-1248,БП11-Р01-Г01-1248,44.0,coreset
data/raw/images/КБ-2014-Р4-424_orig.jpg,КБ-2014-Р4-424,КБ-2014-Р4-424,45.0,coreset
data/raw/images/Нейш3А-2018-3010_orig.jpg,Нейш3А-2018-3010,Нейш3А-2018-3010,46.0,coreset
data/raw/images/Нейш3А-2018-0851_orig.jpg,Нейш3А-2018-0851,Нейш3А-2018-0851,47.0,coreset
data/raw/images/ВО-1л58-2017-1111_orig.jpg,ВО-1л58-2017-1111,ВО-1л58-2017-1111,48.0,coreset
data/raw/images/Нц-45-1085_orig.jpg,Нц-45-1085,Нц-45-1085,49.0,coreset
