image_file,group_key,code,ranking_score,ranking_method
data/raw/images/КБ-2014-Р1-0547_orig.jpg,КБ-2014-Р1-0547,КБ-2014-Р1-0547,0.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-5597_orig.jpg,Нейш3А-2018-5597,Нейш3А-2018-5597,1.0,hybrid_top3x_coreset
data/raw/images/Нц-30-662_orig.jpg,Нц-30-662,Нц-30-662,2.0,hybrid_top3x_coreset
data/raw/images/Нц-45-1445_orig.jpg,Нц-45-1445,Нц-45-1445,3.0,hybrid_top3x_coreset
data/raw/images/ВО-1л58-2017-0161_orig.jpg,ВО-1л58-2017-0161,ВО-1л58-2017-0161,4.0,hybrid_top3x_coreset
data/raw/images/Нц-31-0148_orig.jpg,Нц-31-0148,Нц-31-0148,5.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-5970_orig.jpg,Нейш3А-2018-5970,Нейш3А-2018-5970,6.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-4094_orig.jpg,Нейш3А-2018-4094,Нейш3А-2018-4094,7.0,hybrid_top3x_coreset
data/raw/images/БП12-Г01-7079_orig.jpg,БП12-Г01-7079,БП12-Г01-7079,8.0,hybrid_top3x_coreset
data/raw/images/Т-12-Р2-2714_orig.jpg,Т-12-Р2-2714,Т-12-Р2-2714,9.0,hybrid_top3x_coreset
data/raw/images/Т-12-Р4-1205_orig.jpg,Т-12-Р4-1205,Т-12-Р4-1205,10.0,hybrid_top3x_coreset
data/raw/images/КБ-2014-Р1-1489_orig.jpg,КБ-2014-Р1-1489,КБ-2014-Р1-1489,11.0,hybrid_top3x_coreset
data/raw/images/ВО-1л58-2017-0503_orig.jpg,ВО-1л58-2017-0503,ВО-1л58-2017-0503,12.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-0259_orig.jpg,Нейш3А-2018-0259,Нейш3А-2018-0259,13.0,hybrid_top3x_coreset
data/raw/images/Нц-45-0863_orig.jpg,Нц-45-0863,Нц-45-0863,14.0,hybrid_top3x_coreset
data/raw/images/ВО-1л58-2017-0053_orig.jpg,ВО-1л58-2017-0053,ВО-1л58-2017-0053,15.0,hybrid_top3x_coreset
data/raw/images/КБ-2014-Р5-0118_orig.jpg,КБ-2014-Р5-0118,КБ-2014-Р5-0118,16.0,hybrid_top3x_coreset
data/raw/images/Нц-33-5520_orig.jpg,Нц-33-5520,Нц-33-5520,17.0,hybrid_top3x_coreset
data/raw/images/КБ-2014-Р2-0605_orig.jpg,КБ-2014-Р2-0605,КБ-2014-Р2-0605,18.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-0806_orig.jpg,Нейш3А-2018-0806,Нейш3А-2018-0806,19.0,hybrid_top3x_coreset
data/raw/images/Кроп-2013-422_orig.jpg,Кроп-2013-422,Кроп-2013-422,20.0,hybrid_top3x_coreset
data/raw/images/ВО-1л58-2017-0056_orig.jpg,ВО-1л58-2017-0056,ВО-1л58-2017-0056,21.0,hybrid_top3x_coreset
data/raw/images/Кроп-2013-392_orig.jpg,Кроп-2013-392,Кроп-2013-392,22.0,hybrid_top3x_coreset
data/raw/images/Нц-33-1686_orig.jpg,Нц-33-1686,Нц-33-1686,23.0,hybrid_top3x_coreset
data/raw/images/Нейш3А-2018-3996_orig.jpg,Нейш3А-2018-3996,Нейш3А-2018-3996,24.0,hybrid_top3x_coreset
data/raw/images/Т-12-Р4-1246_orig.jpg,Т-12-Р4-1246,Т-12-Р4-1246,25.0,hybrid_top3x_coreset
