code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain
М102-2012-1-0496,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,керамика,"9,9+ х 6,4+ х 1,3+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0496_orig.jpg,startswith,1,М102-2012-1-0496,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
М102-2012-1-0752,Тарелка,"Сосуда (тарелки, блюда ?) красноглиняной с белой поливой снаружи и внутри с росписью (синие цветы с листьями в центре сосуда) донца фр-т",керамика,D ок 19 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0752_orig.jpg,startswith,1,М102-2012-1-0752,Керамика,тарелка,0,донце,0,фрагмент,0,0,1
М102-2012-1-0833,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0833_orig.jpg,startswith,1,М102-2012-1-0833,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1
М102-2012-1-0843,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0843_orig.jpg,startswith,1,М102-2012-1-0843,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1
М102-2012-2-0543,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с зеленой растительной росписью в технике деколь профиля фр-т,фарфор,"D8 (донце), D15 (край) см",Фрагмент,Дерн,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-0543_orig.jpg,startswith,1,М102-2012-2-0543,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
М102-2012-2-1086,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью донца фр-т,фаянс,D13 см,Фрагмент,"Желтый песок, подсыпка под мостовой 1",ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1086_orig.jpg,startswith,1,М102-2012-2-1086,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
М102-2012-2-1095,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,керамика,"5+ х 5,5 х 2,5+ см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1095_orig.jpg,startswith,1,М102-2012-2-1095,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,1
М102-2012-2-1121,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри края фр-т,фарфор,D15 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1121_orig.jpg,startswith,1,М102-2012-2-1121,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0
М102-2012-2-1125,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой снаружи крышки фр-т,фарфор,D5 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1125_orig.jpg,startswith,1,М102-2012-2-1125,Фарфор,крышка,0,часть не указана,1,фрагмент,0,0,0
М102-2012-2-1181,Плитка,Плитки  желтоглиняной облицовочной с голубой поливой снаружи и клеймом на внутренней стороне фр-т,керамика,"12+ х 7,3+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1181_orig.jpg,startswith,1,М102-2012-2-1181,Керамика,прочее,1,часть не указана,1,фрагмент,0,0,0
М102-2012-2-1314,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой крышки фр-т,фарфор,D7 см,Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1314_orig.jpg,startswith,1,М102-2012-2-1314,Фарфор,крышка,0,часть не указана,1,фрагмент,0,0,0
М102-2012-2-1394,Крышка,Сосуда фаянсового с полихромной растительно-геометрической росписью и следами позолоты крышка,фаянс,D9 см,Целый,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1394_orig.jpg,startswith,1,М102-2012-2-1394,Фаянс,крышка,0,часть не указана,1,целый,0,0,0
М102-2012-2-1406,Блюдце,Блюдца фаянсового профиля фр-т,фаянс,D8 см,Фрагмент,Яма с битым кирпичом,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1406_orig.jpg,startswith,1,М102-2012-2-1406,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0
Мич11-ш01-029,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,керамика,,Фрагмент,Сильногумусированная коричневая супесь с включениями битого кирпича,ИИМК РАН,2011.0,data/raw/images/Мич11-ш01-029_orig.jpg,startswith,1,Мич11-ш01-029,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Мич11-ш02-057,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой росписью  фр-т,керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш02-057_orig.jpg,startswith,1,Мич11-ш02-057,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-Г03-6493,Изразец,Изразец красноглиняный изогнутый с зеленой поливой фрагментированный,керамика,"18,5х9+х4,5+ см",Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6493_orig.jpg,startswith,1,БП11-Р01-Г03-6493,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-Г01-1395,Тарелка,Тарелки фаянсовой с клеймом профиль,фаянс,Д25-14 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1395_orig.jpg,startswith,1,БП11-Р01-Г01-1395,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
