field,class,factor,value,count,share
integrity,фрагмент,layout_mode,single_object,978,0.7623
integrity,фрагмент,layout_mode,multi_view,268,0.2089
integrity,фрагмент,layout_mode,close_up,37,0.0288
integrity,фрагмент,bg_type,white_uniform,971,0.7568
integrity,фрагмент,bg_type,light_photo,285,0.2221
integrity,фрагмент,bg_type,dark_or_complex,27,0.021
integrity,фрагмент,foreground_ratio_bin,ge_0.30,800,0.6235
integrity,фрагмент,foreground_ratio_bin,0.15_0.30,471,0.3671
integrity,фрагмент,foreground_ratio_bin,0.08_0.15,12,0.0094
integrity,фрагмент,has_scale_bar,0,1282,0.9992
integrity,фрагмент,has_scale_bar,1,1,0.0008
integrity,фрагмент,has_overlay_text,0,1158,0.9026
integrity,фрагмент,has_overlay_text,1,125,0.0974
integrity,целый,layout_mode,single_object,69,0.6635
integrity,целый,layout_mode,multi_view,34,0.3269
integrity,целый,layout_mode,close_up,1,0.0096
integrity,целый,bg_type,white_uniform,65,0.625
integrity,целый,bg_type,light_photo,37,0.3558
integrity,целый,bg_type,dark_or_complex,2,0.0192
integrity,целый,foreground_ratio_bin,ge_0.30,83,0.7981
integrity,целый,foreground_ratio_bin,0.15_0.30,21,0.2019
integrity,целый,has_scale_bar,0,104,1.0
integrity,целый,has_overlay_text,0,93,0.8942
integrity,целый,has_overlay_text,1,11,0.1058
