field,class,factor,value,count,share
material,керамика,layout_mode,single_object,515,0.7851
material,керамика,layout_mode,multi_view,131,0.1997
material,керамика,layout_mode,close_up,10,0.0152
material,керамика,bg_type,white_uniform,516,0.7866
material,керамика,bg_type,light_photo,139,0.2119
material,керамика,bg_type,dark_or_complex,1,0.0015
material,керамика,foreground_ratio_bin,ge_0.30,418,0.6372
material,керамика,foreground_ratio_bin,0.15_0.30,236,0.3598
material,керамика,foreground_ratio_bin,0.08_0.15,2,0.003
material,керамика,has_scale_bar,0,656,1.0
material,керамика,has_overlay_text,0,579,0.8826
material,керамика,has_overlay_text,1,77,0.1174
material,стекло,layout_mode,single_object,22,0.7857
material,стекло,layout_mode,multi_view,5,0.1786
material,стекло,layout_mode,close_up,1,0.0357
material,стекло,bg_type,white_uniform,17,0.6071
material,стекло,bg_type,light_photo,11,0.3929
material,стекло,foreground_ratio_bin,ge_0.30,22,0.7857
material,стекло,foreground_ratio_bin,0.15_0.30,5,0.1786
material,стекло,foreground_ratio_bin,0.08_0.15,1,0.0357
material,стекло,has_scale_bar,0,28,1.0
material,стекло,has_overlay_text,0,25,0.8929
material,стекло,has_overlay_text,1,3,0.1071
material,фарфор,layout_mode,single_object,223,0.7264
material,фарфор,layout_mode,multi_view,75,0.2443
material,фарфор,layout_mode,close_up,9,0.0293
material,фарфор,bg_type,white_uniform,206,0.671
material,фарфор,bg_type,light_photo,83,0.2704
material,фарфор,bg_type,dark_or_complex,18,0.0586
material,фарфор,foreground_ratio_bin,ge_0.30,208,0.6775
material,фарфор,foreground_ratio_bin,0.15_0.30,97,0.316
material,фарфор,foreground_ratio_bin,0.08_0.15,2,0.0065
material,фарфор,has_scale_bar,0,307,1.0
material,фарфор,has_overlay_text,0,293,0.9544
material,фарфор,has_overlay_text,1,14,0.0456
material,фаянс,layout_mode,single_object,274,0.7446
material,фаянс,layout_mode,multi_view,79,0.2147
material,фаянс,layout_mode,close_up,15,0.0408
material,фаянс,bg_type,white_uniform,278,0.7554
material,фаянс,bg_type,light_photo,81,0.2201
material,фаянс,bg_type,dark_or_complex,9,0.0245
material,фаянс,foreground_ratio_bin,ge_0.30,214,0.5815
material,фаянс,foreground_ratio_bin,0.15_0.30,148,0.4022
material,фаянс,foreground_ratio_bin,0.08_0.15,6,0.0163
material,фаянс,has_scale_bar,0,367,0.9973
material,фаянс,has_scale_bar,1,1,0.0027
material,фаянс,has_overlay_text,0,328,0.8913
material,фаянс,has_overlay_text,1,40,0.1087
