field,class,factor,value,count,share
part,венчик,layout_mode,single_object,136,0.85
part,венчик,layout_mode,multi_view,17,0.1062
part,венчик,layout_mode,close_up,7,0.0437
part,венчик,bg_type,white_uniform,114,0.7125
part,венчик,bg_type,light_photo,46,0.2875
part,венчик,foreground_ratio_bin,ge_0.30,80,0.5
part,венчик,foreground_ratio_bin,0.15_0.30,77,0.4813
part,венчик,foreground_ratio_bin,0.08_0.15,3,0.0187
part,венчик,has_scale_bar,0,160,1.0
part,венчик,has_overlay_text,0,148,0.925
part,венчик,has_overlay_text,1,12,0.075
part,донце,layout_mode,single_object,135,0.6853
part,донце,layout_mode,multi_view,58,0.2944
part,донце,layout_mode,close_up,4,0.0203
part,донце,bg_type,white_uniform,137,0.6954
part,донце,bg_type,light_photo,45,0.2284
part,донце,bg_type,dark_or_complex,15,0.0761
part,донце,foreground_ratio_bin,ge_0.30,137,0.6954
part,донце,foreground_ratio_bin,0.15_0.30,59,0.2995
part,донце,foreground_ratio_bin,0.08_0.15,1,0.0051
part,донце,has_scale_bar,0,197,1.0
part,донце,has_overlay_text,0,171,0.868
part,донце,has_overlay_text,1,26,0.132
part,профиль,layout_mode,single_object,231,0.7911
part,профиль,layout_mode,multi_view,55,0.1884
part,профиль,layout_mode,close_up,6,0.0205
part,профиль,bg_type,white_uniform,197,0.6747
part,профиль,bg_type,light_photo,90,0.3082
part,профиль,bg_type,dark_or_complex,5,0.0171
part,профиль,foreground_ratio_bin,ge_0.30,199,0.6815
part,профиль,foreground_ratio_bin,0.15_0.30,92,0.3151
part,профиль,foreground_ratio_bin,0.08_0.15,1,0.0034
part,профиль,has_scale_bar,0,292,1.0
part,профиль,has_overlay_text,0,268,0.9178
part,профиль,has_overlay_text,1,24,0.0822
part,прочее,layout_mode,single_object,10,0.7143
part,прочее,layout_mode,close_up,2,0.1429
part,прочее,layout_mode,multi_view,2,0.1429
part,прочее,bg_type,white_uniform,13,0.9286
part,прочее,bg_type,light_photo,1,0.0714
part,прочее,foreground_ratio_bin,ge_0.30,6,0.4286
part,прочее,foreground_ratio_bin,0.15_0.30,6,0.4286
part,прочее,foreground_ratio_bin,0.08_0.15,2,0.1429
part,прочее,has_scale_bar,0,14,1.0
part,прочее,has_overlay_text,0,12,0.8571
part,прочее,has_overlay_text,1,2,0.1429
part,ручка,layout_mode,single_object,32,0.8649
part,ручка,layout_mode,multi_view,4,0.1081
part,ручка,layout_mode,close_up,1,0.027
part,ручка,bg_type,white_uniform,23,0.6216
part,ручка,bg_type,light_photo,14,0.3784
part,ручка,foreground_ratio_bin,ge_0.30,22,0.5946
part,ручка,foreground_ratio_bin,0.15_0.30,15,0.4054
part,ручка,has_scale_bar,0,37,1.0
part,ручка,has_overlay_text,0,36,0.973
part,ручка,has_overlay_text,1,1,0.027
