field,class,factor,value,count,share
type,блюдце,layout_mode,single_object,155,0.7209
type,блюдце,layout_mode,multi_view,54,0.2512
type,блюдце,layout_mode,close_up,6,0.0279
type,блюдце,bg_type,white_uniform,147,0.6837
type,блюдце,bg_type,light_photo,56,0.2605
type,блюдце,bg_type,dark_or_complex,12,0.0558
type,блюдце,foreground_ratio_bin,ge_0.30,148,0.6884
type,блюдце,foreground_ratio_bin,0.15_0.30,66,0.307
type,блюдце,foreground_ratio_bin,0.08_0.15,1,0.0047
type,блюдце,has_scale_bar,0,215,1.0
type,блюдце,has_overlay_text,0,196,0.9116
type,блюдце,has_overlay_text,1,19,0.0884
type,изразец,layout_mode,single_object,283,0.7839
type,изразец,layout_mode,multi_view,72,0.1994
type,изразец,layout_mode,close_up,6,0.0166
type,изразец,bg_type,white_uniform,294,0.8144
type,изразец,bg_type,light_photo,67,0.1856
type,изразец,foreground_ratio_bin,ge_0.30,234,0.6482
type,изразец,foreground_ratio_bin,0.15_0.30,126,0.349
type,изразец,foreground_ratio_bin,0.08_0.15,1,0.0028
type,изразец,has_scale_bar,0,361,1.0
type,изразец,has_overlay_text,0,314,0.8698
type,изразец,has_overlay_text,1,47,0.1302
type,крышка,layout_mode,single_object,143,0.8079
type,крышка,layout_mode,multi_view,30,0.1695
type,крышка,layout_mode,close_up,4,0.0226
type,крышка,bg_type,white_uniform,127,0.7175
type,крышка,bg_type,light_photo,49,0.2768
type,крышка,bg_type,dark_or_complex,1,0.0056
type,крышка,foreground_ratio_bin,ge_0.30,114,0.6441
type,крышка,foreground_ratio_bin,0.15_0.30,62,0.3503
type,крышка,foreground_ratio_bin,0.08_0.15,1,0.0056
type,крышка,has_scale_bar,0,177,1.0
type,крышка,has_overlay_text,0,170,0.9605
type,крышка,has_overlay_text,1,7,0.0395
type,миска,layout_mode,single_object,90,0.7692
type,миска,layout_mode,multi_view,27,0.2308
type,миска,bg_type,white_uniform,80,0.6838
type,миска,bg_type,light_photo,37,0.3162
type,миска,foreground_ratio_bin,ge_0.30,87,0.7436
type,миска,foreground_ratio_bin,0.15_0.30,30,0.2564
type,миска,has_scale_bar,0,117,1.0
type,миска,has_overlay_text,0,106,0.906
type,миска,has_overlay_text,1,11,0.094
type,тарелка,layout_mode,single_object,357,0.7361
type,тарелка,layout_mode,multi_view,108,0.2227
type,тарелка,layout_mode,close_up,20,0.0412
type,тарелка,bg_type,white_uniform,369,0.7608
type,тарелка,bg_type,light_photo,101,0.2082
type,тарелка,bg_type,dark_or_complex,15,0.0309
type,тарелка,foreground_ratio_bin,ge_0.30,274,0.5649
type,тарелка,foreground_ratio_bin,0.15_0.30,203,0.4186
type,тарелка,foreground_ratio_bin,0.08_0.15,8,0.0165
type,тарелка,has_scale_bar,0,484,0.9979
type,тарелка,has_scale_bar,1,1,0.0021
type,тарелка,has_overlay_text,0,439,0.9052
type,тарелка,has_overlay_text,1,46,0.0948
