code,name,description,material_raw,material,type,part,integrity,label_is_uncertain
Т-12-Р3-2256,Блюдце,Блюдца фарфорового с клеймом снаружи профиля фр-т,Фарфор,фарфор,блюдце,профиль,фрагмент,0
Нц-44-0086,Изразец,Изразца красноглиняного глазурованного фр-т,Керамика,керамика,изразец,часть не указана,фрагмент,0
БП12-Г01-2474,Крышка,Сосуда фаянсового крышка фрагментированная,Фаянс,фаянс,крышка,часть не указана,фрагмент,0
Нц-32-0087,Миска,Миски красноглиняной с зеленой поливой внутри венчика фр-т,Керамика,керамика,миска,венчик,фрагмент,0
ВО-1л58-2017-0022,Плитка,Плитки (напольной ?) (метлахской ?) серо-бежевой фр-т,Керамика,керамика,прочее,часть не указана,фрагмент,1
Нейш3А-2018-6973,Тарелка,"Тарелки фаянсовой расписной (красный, зеленый, синий, черный) внутри клейменой донца фр-т",Фаянс,фаянс,тарелка,донце,фрагмент,0
КБ-2014-Р2-0197,Тарелка,Тарелки миниатюрной фарфоровой с полихромным и рельефным орнаментом внутри профиль,Фарфор,фарфор,тарелка,профиль,фрагмент,0
Нц-45-0371,Тарелка,Тарелки фаянсовой с зеленой поливой внутри профиля фр-т,Фаянс,фаянс,тарелка,профиль,фрагмент,0
КБ-2014-Р1-0094,Плитка,Плитка светлоглиняная напольная с растительным вдавленным рисунком,Глина,керамика,прочее,часть не указана,целый,0
Нц-46-228,Тарелка,Тарелки фаянсовой с белой поливой  внутри и снаружи края фр-т,Фаянс,фаянс,тарелка,часть не указана,фрагмент,0
Нц-45-1233,Изразец,Изразец красноглиняный орнаментированный,Керамика,керамика,изразец,часть не указана,целый,0
Нц-36-401,Тарелка,Тарелки фаянсовой донца фр-т,Фаянс,фаянс,тарелка,донце,фрагмент,0
БП11-Р01-тех-0394,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,фаянс,тарелка,часть не указана,фрагмент,0
БП12-Г01-5843,Крышка,Сосуда фаянсового крышки с золотой каемкой и с полихромной росписью по синей поливе профиль,Фаянс,фаянс,крышка,профиль,фрагмент,0
Нц-45-0407,Блюдце,Блюдца фарфорового с зеленой росписью внутри профиля фр-т,Фарфор,фарфор,блюдце,профиль,фрагмент,0
ЛАО-2012-М102-Ш4-179,Миска,Миски красноглиняной с полихромной росписью по коричневой поливе внутри профиль,Керамика,керамика,миска,профиль,фрагмент,0
Нц-45-1460,Изразец,Изразца красноглиняного со следами темно-коричневой поливы фр-т,Керамика,керамика,изразец,часть не указана,фрагмент,0
Нц-45-0522,Изразец,Изразца красноглиняного с белой поливой фр-т,Керамика,керамика,изразец,часть не указана,фрагмент,0
Нц-45-0567,Блюдце,Блюдца фарфорового с полихромной росписью снаружи донца фр-т,Фарфор,фарфор,блюдце,донце,фрагмент,0
БП11-Р01-Г01-1290,Тарелка,Тарелки фаянсовой профиль,Фаянс,фаянс,тарелка,профиль,фрагмент,0
