field,raw_value,normalized_value,example_code,example_text
material,Белоглиняная керамика,керамика,Нев11-Г02-010,Тарелки белоглиняной с изумрудной поливой донца фр-т
material,Глина,керамика,КБ-2014-Р1-0094,Плитка светлоглиняная напольная с растительным вдавленным рисунком
material,Керамика,керамика,М102-2012-1-0494,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т
material,Красноглиняная керамика,керамика,БП12-Г01-0732,Миски (?) красноглиняной орнаментированной с клеймом профиль
material,Светлоглиняная керамика,керамика,БП12-Г01-5990,Крышки светлоглиняной края фр-т
material,Серолощеная керамика,керамика,БП12-Г01-5772,Сосуда серолощеного крышки края фр-т
material,Белый металл,прочее,БП11-Р01-Г01-1197,Крышка белого металла на бутылку с изображением герба фрагментированная
material,Бронза,прочее,Нц-41-0031,Крышка бронзовая
material,Гранит,прочее,Нейш3А-2018-4071,Плитка пирогранитная квадратная клейменая
material,Дерево,прочее,БП12-Г01-7271,Миски деревянной профиль
material,Каменная масса,прочее,М102-2012-2-1068,Плитки напольной из каменной массы (?) с белой поливой края фр-т
material,Камень,прочее,КБ-2014-Р1-0131,"Плитки каменной серой с вдавленным клеймом ""KLING…"" фрагмент"
material,Металл,прочее,Нейш3А-2018-0500,Крышка металлическая синего цвета снаружи и внутри
material,"Основание - бетон, покрытие - композитный материал",прочее,Нев11-Г0-005,"Плитка бетонно-композитная напольная, орнаментированная"
material,Песчаник,прочее,Нц-102-1945,Шлифовальная плита
material,Пластмасса,прочее,КБ-2014-Р3-0419,Крышка пластмассовая красная с рельефной надписью
material,Резина,прочее,БП12-Г01-6940,Игрушки резиновой фр-т
material,Сланец,прочее,Нц-102-1519,Плитка со шлифовкой
material,Стекло,стекло,М102-2012-2-1279,Сосуда прозрачного стекла крышки фр-т
material,Фарфор,фарфор,М102-2012-2-0538,Блюдца (?) фарфорового с полихромной растительной росписью и золотой окантовкой края фр-т
type,Блюдце | Блюдца фарфорового с кобальтовой росписью профиля фр-т,блюдце,БП11-Р01-Г03-6483,Блюдца фарфорового с кобальтовой росписью профиля фр-т
type,Блюдце | Блюдца фарфорового с клеймом профиль,блюдце,БП11-Р01-Г03-6484,Блюдца фарфорового с клеймом профиль
type,Блюдце | Блюдца фаянсового с полихромной с росписью профиль,блюдце,БП12-Г01-0784,Блюдца фаянсового с полихромной с росписью профиль
type,Блюдце | Блюдца фаянсового с полихромной росписью и клеймом профиль,блюдце,БП12-Г01-0794,Блюдца фаянсового с полихромной росписью и клеймом профиль
type,Блюдце | Блюдца фаянсового с кобальтовой росписью донца фр-т,блюдце,БП12-Г01-1697,Блюдца фаянсового с кобальтовой росписью донца фр-т
type,Блюдце | Блюдца фарфорового с рельефной поверхностью по внутренней стороне и с кобальтовой росписью профиль,блюдце,БП12-Г01-2475,Блюдца фарфорового с рельефной поверхностью по внутренней стороне и с кобальтовой росписью профиль
type,Блюдце | Блюдца фаянсового с кобальтовой росписью и клеймом профиль,блюдце,БП12-Г01-3414,Блюдца фаянсового с кобальтовой росписью и клеймом профиль
type,Блюдце | Блюдца фаянсового с росписью профиль,блюдце,БП12-Г01-3462,Блюдца фаянсового с росписью профиль
type,Блюдце | Блюдца фарфорового с золотой и розовой каемкой и с клеймом профиль,блюдце,БП12-Г01-4902,Блюдца фарфорового с золотой и розовой каемкой и с клеймом профиль
type,Блюдце | Блюдца фаянсового с черной росписью донца фр-т,блюдце,БП12-Г01-4903,Блюдца фаянсового с черной росписью донца фр-т
type,Блюдце | Блюдца фарфорового с полихромной росписью и золотой окантовкой профиль,блюдце,БП12-Г01-6521,Блюдца фарфорового с полихромной росписью и золотой окантовкой профиль
type,Блюдце | Блюдца фаянсового с красной окантовкой по краю профиль,блюдце,БП12-Г01-6522,Блюдца фаянсового с красной окантовкой по краю профиль
type,Блюдце | Блюдце фаянсовое с зеленой росписью,блюдце,БП12-Г01-6523,Блюдце фаянсовое с зеленой росписью
type,Блюдце | Блюдца фаянсового профиль,блюдце,БП12-Г01-6524,Блюдца фаянсового профиль
type,Блюдце | Блюдце фарфоровое с клеймом и золотой росписью фрагментированное,блюдце,БП12-Г01-6525,Блюдце фарфоровое с клеймом и золотой росписью фрагментированное
type,Блюдце | Блюдца фарфорового с красной каемкой профиль,блюдце,БП12-Г01-7005,Блюдца фарфорового с красной каемкой профиль
type,Блюдце | Блюдца фаянсового с росписью и с клеймом донца фр-т,блюдце,БП12-Г02-3659,Блюдца фаянсового с росписью и с клеймом донца фр-т
type,Блюдце | Блюдца фаянсового с кобальтовой росписью и рельефными стенками и краем профиль,блюдце,БП12-Г02-3984,Блюдца фаянсового с кобальтовой росписью и рельефными стенками и краем профиль
type,Блюдце | Блюдца фаянсового с полихромной росписью профиля фр-т,блюдце,БП12-Г02-4189,Блюдца фаянсового с полихромной росписью профиля фр-т
type,Блюдце | Блюдца фаянсового с росписью края фр-т,блюдце,БП12-Г02-4257,Блюдца фаянсового с росписью края фр-т
