code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
БП12-Г02-5226,Тарелка,Тарелки фаянсовой края фр-т,фаянс,Д23 см,Фрагмент,Горизонт 2/ темная гумусированная супесь,,,data/raw/images/БП12-Г02-5226_orig.jpg,startswith,1,БП12-Г02-5226,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,1080,218,4.954128440366972,160,32,0.321875,dark_or_complex,single_object,4,0.1296875,0.1162109375,1,0,35.189778645833336,81.13796032968428,2.3002212573291763,0.0,0.0,0.0,ge_0.30
Нейш3А-2018-1357,Блюдце,Блюдца фарфорового клейменого профиль,фарфор,"Д=13 д=7,5  см",Фрагмент,Темно-коричневая супесь,,,data/raw/images/Нейш3А-2018-1357_orig.jpg,startswith,1,Нейш3А-2018-1357,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0,3228,779,4.14377406931964,160,39,0.4806089743589744,light_photo,multi_view,3,0.2721153846153846,0.16875,0,0,238.90295226130652,27.074887299348596,2.021606983519091,255.0,255.0,255.0,ge_0.30
КБ-2014-Р2-0574,Крышка,Сосуда фаянсового с черной поливой снаружи и внутри крышки венчика фр-т,фаянс,Д=35 см,Фрагмент,Слой 5/ гориз.3,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0574_orig.jpg,startswith,1,КБ-2014-Р2-0574,Фаянс,крышка,0,венчик,0,фрагмент,0,0,0,14155,3512,4.030466970387244,160,40,0.403125,light_photo,multi_view,4,0.1703125,0.16296875,0,0,246.0646875,33.664651593566695,1.9938822427909928,255.0,255.0,255.0,ge_0.30
Кроп-2013-218,Миска,Миски красноглиняной со светло-коричневой поливой внутри и снаружи венчика фр-т,керамика,Д=17 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-218_orig.jpg,startswith,1,Кроп-2013-218,Керамика,миска,0,венчик,0,фрагмент,0,0,0,12499,3147,3.9717190975532253,160,40,0.42328125,light_photo,multi_view,4,0.1696875,0.16546875,0,0,234.58322916666665,48.54613373569098,1.979199023025815,255.0,255.0,255.0,ge_0.30
КБ-2014-Р2-0218,Блюдце,"Блюдце фарфоровое с полихромным линейным и растительным орнаментом внутри и клеймом на донце, фр-ое",фарфор,"Двен=14,5; Ддон=8,5; выс=2,5 см",Фрагмент,Слой 1/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0218_orig.jpg,startswith,1,КБ-2014-Р2-0218,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,3769,9765,0.38597030209933436,62,160,0.5012096774193548,dark_or_complex,multi_view,6,0.20625,0.20362903225806453,0,0,20.240146396396398,55.765546844296544,1.951994850043644,0.0,0.0,0.0,ge_0.30
Кроп-2013-204,Миска,Миски белоглиняной с желто-зеленой поливой внутри и снаружи орнаментированного венчика фр-т,керамика,Д=20 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-204_orig.jpg,startswith,1,Кроп-2013-204,Керамика,миска,0,венчик,0,фрагмент,0,0,0,10253,2825,3.6293805309734513,160,44,0.4082386363636364,light_photo,multi_view,4,0.16860795454545455,0.16846590909090908,0,0,235.92136437908493,44.11757983789283,1.88906198108955,255.0,255.0,255.0,ge_0.30
ВО-1л58-2017-1156,Миска,Миски красноглиняной с зеленой поливой внутри венчика фр-т,керамика,Д=20 см,Фрагмент,Заполнение канавы,ИИМК РАН,2017.0,data/raw/images/ВО-1л58-2017-1156_orig.jpg,startswith,1,ВО-1л58-2017-1156,Керамика,миска,0,венчик,0,фрагмент,0,0,0,12493,3471,3.599250936329588,160,44,0.4440340909090909,light_photo,multi_view,4,0.1887784090909091,0.1786931818181818,0,0,241.84579248366012,37.02594582838295,1.880725750570043,255.0,255.0,255.0,ge_0.30
ВО-1л58-2017-0977,Миска,Миски серолощеной венчика фр-т,керамика,Д=26 см,Фрагмент,"Засыпка битым кирпич. и изразцами под ""фунд-ом""",ИИМК РАН,2017.0,data/raw/images/ВО-1л58-2017-0977_orig.jpg,startswith,1,ВО-1л58-2017-0977,Керамика,миска,0,венчик,0,фрагмент,0,0,0,8880,2500,3.552,160,45,0.45125,light_photo,multi_view,6,0.1909722222222222,0.18930555555555556,0,0,225.0382113821138,54.86531207812065,1.8675108251299237,255.0,255.0,255.0,ge_0.30
КБ-2014-Р3-0141,Тарелка,Тарелка фарфоровая с белой поливой снаружи и белой поливой с полихромным надглазурным цветочным орнаментом(ручная роспись) внутри фрагментированная с клеймом на донце,фарфор,"Dвен=18; Dдон=10,5; Выс=1,9 см",Целый,Слой 2/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р3-0141_orig.jpg,startswith,1,КБ-2014-Р3-0141,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0,4109,9771,0.42053014021082796,67,160,0.5055037313432836,dark_or_complex,multi_view,6,0.2171641791044776,0.21585820895522387,0,0,15.833149779735683,47.39202569346438,1.8662391250609334,0.0,0.0,0.0,ge_0.30
БП12-Г02-5243,Блюдце,Блюдца фаянсового с кобальтовой росписью профиль,фаянс,"Д13-6; высота 2,5 см",Фрагмент,Горизонт 2/ гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г02-5243_orig.jpg,startswith,1,БП12-Г02-5243,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0,543,1920,0.2828125,45,160,0.39069444444444446,light_photo,multi_view,5,0.1622222222222222,0.16069444444444445,0,0,249.04156504065043,21.017132319566855,1.8629711450878919,255.0,255.0,255.0,ge_0.30
