split,field,label,count,ratio
train,type,тарелка,322,0.3319587628865979
train,type,изразец,263,0.2711340206185567
train,type,блюдце,151,0.1556701030927835
train,type,крышка,130,0.13402061855670103
train,type,миска,85,0.08762886597938144
train,type,прочее,19,0.01958762886597938
train,part,часть не указана,485,0.5
train,part,профиль,208,0.21443298969072164
train,part,донце,137,0.14123711340206185
train,part,венчик,106,0.10927835051546392
train,part,ручка,23,0.023711340206185566
train,part,прочее,11,0.01134020618556701
train,integrity,фрагмент,890,0.9175257731958762
train,integrity,целый,80,0.08247422680412371
train,material,керамика,465,0.4793814432989691
train,material,фаянс,259,0.2670103092783505
train,material,фарфор,206,0.21237113402061855
train,material,прочее,20,0.020618556701030927
train,material,стекло,20,0.020618556701030927
val,type,тарелка,78,0.375
val,type,изразец,47,0.22596153846153846
val,type,блюдце,39,0.1875
val,type,крышка,20,0.09615384615384616
val,type,миска,14,0.0673076923076923
val,type,прочее,10,0.04807692307692308
val,part,часть не указана,102,0.49038461538461536
val,part,профиль,38,0.18269230769230768
val,part,донце,36,0.17307692307692307
val,part,венчик,23,0.11057692307692307
val,part,ручка,7,0.03365384615384615
val,part,прочее,2,0.009615384615384616
val,integrity,фрагмент,196,0.9423076923076923
val,integrity,целый,12,0.057692307692307696
val,material,керамика,94,0.4519230769230769
val,material,фаянс,57,0.27403846153846156
val,material,фарфор,49,0.23557692307692307
val,material,прочее,6,0.028846153846153848
val,material,стекло,2,0.009615384615384616
test,type,тарелка,85,0.40669856459330145
test,type,изразец,51,0.24401913875598086
test,type,крышка,27,0.1291866028708134
test,type,блюдце,25,0.11961722488038277
test,type,миска,18,0.0861244019138756
test,type,прочее,3,0.014354066985645933
test,part,часть не указана,100,0.4784688995215311
test,part,профиль,46,0.22009569377990432
test,part,венчик,31,0.14832535885167464
test,part,донце,24,0.11483253588516747
test,part,ручка,7,0.03349282296650718
test,part,прочее,1,0.004784688995215311
test,integrity,фрагмент,197,0.9425837320574163
test,integrity,целый,12,0.05741626794258373
test,material,керамика,97,0.46411483253588515
test,material,фаянс,52,0.24880382775119617
test,material,фарфор,52,0.24880382775119617
test,material,стекло,6,0.028708133971291867
test,material,прочее,2,0.009569377990430622
