epoch,train_loss,subset_loss,type_subset_loss,type_acc,type_macro_f1,mean_macro_f1,lr
1,3.036251974105835,0.00949566229606944,0.00949566229606944,1.0,1.0,1.0,0.01
2,0.002950956183485687,3.8980677345534785e-06,3.8980677345534785e-06,1.0,1.0,1.0,0.01
3,2.50339189733495e-07,1.4305104514278356e-07,1.4305104514278356e-07,1.0,1.0,1.0,0.01
4,3.576278118089249e-08,2.3841855067985306e-08,2.3841855067985306e-08,1.0,1.0,1.0,0.01
5,2.3841855067985306e-08,1.192092824453539e-08,1.192092824453539e-08,1.0,1.0,1.0,0.01
6,1.192092824453539e-08,0.0,0.0,1.0,1.0,1.0,0.01
7,0.0,0.0,0.0,1.0,1.0,1.0,0.01
8,0.0,0.0,0.0,1.0,1.0,1.0,0.01
9,0.0,0.0,0.0,1.0,1.0,1.0,0.01
10,0.0,0.0,0.0,1.0,1.0,1.0,0.01
11,0.0,0.0,0.0,1.0,1.0,1.0,0.01
12,0.0,0.0,0.0,1.0,1.0,1.0,0.01
