code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,split
М102-2012-1-0494,Изразец,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т,керамика,"7+ х 3,5+ х 1,1+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0494_orig.jpg,startswith,1,М102-2012-1-0494,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-1-0496,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,керамика,"9,9+ х 6,4+ х 1,3+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0496_orig.jpg,startswith,1,М102-2012-1-0496,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-1-0529,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой растительной росписью фр-т,керамика,"4,5+ х 4,3 х 4,2+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0529_orig.jpg,startswith,1,М102-2012-1-0529,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-1-0585,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0585_orig.jpg,startswith,1,М102-2012-1-0585,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-1-0603,Изразец,Изразца (перемычки?) красноглиняного с белой поливой и голубой росписью фр-т,керамика,"3,8+ х 2,8 х 5,1+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0603_orig.jpg,startswith,1,М102-2012-1-0603,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,1,test
М102-2012-1-0611,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,керамика,"9,8+ х 6,8+ х 2,2 см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0611_orig.jpg,startswith,1,М102-2012-1-0611,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-1-0691,Миска,"Миски серолощеной с орнаментом ""волна"" снаружи венчика фр-т",керамика,D28 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0691_orig.jpg,startswith,1,М102-2012-1-0691,Керамика,миска,0,венчик,0,фрагмент,0,0,0,train
М102-2012-1-0752,Тарелка,"Сосуда (тарелки, блюда ?) красноглиняной с белой поливой снаружи и внутри с росписью (синие цветы с листьями в центре сосуда) донца фр-т",керамика,D ок 19 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0752_orig.jpg,startswith,1,М102-2012-1-0752,Керамика,тарелка,0,донце,0,фрагмент,0,0,1,train
М102-2012-1-0827,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D19 см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0827_orig.jpg,startswith,1,М102-2012-1-0827,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1,test
М102-2012-1-0833,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0833_orig.jpg,startswith,1,М102-2012-1-0833,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1,train
